|Dart   |Boomer |Bomb   |Tack   |
|Dart   |Boomer |Bomb   |Ice    |
|Dart   |Boomer |Bomb   |Glue   |
|Dart   |Boomer |Bomb   |Sniper |
|Dart   |Boomer |Bomb   |Sub    |
|Dart   |Boomer |Bomb   |Bucc   |
|Dart   |Boomer |Bomb   |Ace    |
|Dart   |Boomer |Bomb   |Heli   |
|Dart   |Boomer |Bomb   |Mortar |
|Dart   |Boomer |Bomb   |Wizard |
|Dart   |Boomer |Bomb   |Super  |
|Dart   |Boomer |Bomb   |Ninja  |
|Dart   |Boomer |Bomb   |Alch   |
|Dart   |Boomer |Bomb   |Druid  |
|Dart   |Boomer |Bomb   |Spact  |
|Dart   |Boomer |Bomb   |Village|
|Dart   |Boomer |Tack   |Ice    |
|Dart   |Boomer |Tack   |Glue   |
|Dart   |Boomer |Tack   |Sniper |
|Dart   |Boomer |Tack   |Sub    |
|Dart   |Boomer |Tack   |Bucc   |
|Dart   |Boomer |Tack   |Ace    |
|Dart   |Boomer |Tack   |Heli   |
|Dart   |Boomer |Tack   |Mortar |
|Dart   |Boomer |Tack   |Wizard |
|Dart   |Boomer |Tack   |Super  |
|Dart   |Boomer |Tack   |Ninja  |
|Dart   |Boomer |Tack   |Alch   |
|Dart   |Boomer |Tack   |Druid  |
|Dart   |Boomer |Tack   |Spact  |
|Dart   |Boomer |Tack   |Village|
|Dart   |Boomer |Ice    |Glue   |
|Dart   |Boomer |Ice    |Sniper |
|Dart   |Boomer |Ice    |Sub    |
|Dart   |Boomer |Ice    |Bucc   |
|Dart   |Boomer |Ice    |Ace    |
|Dart   |Boomer |Ice    |Heli   |
|Dart   |Boomer |Ice    |Mortar |
|Dart   |Boomer |Ice    |Wizard |
|Dart   |Boomer |Ice    |Super  |
|Dart   |Boomer |Ice    |Ninja  |
|Dart   |Boomer |Ice    |Alch   |
|Dart   |Boomer |Ice    |Druid  |
|Dart   |Boomer |Ice    |Spact  |
|Dart   |Boomer |Ice    |Village|
|Dart   |Boomer |Glue   |Sniper |
|Dart   |Boomer |Glue   |Sub    |
|Dart   |Boomer |Glue   |Bucc   |
|Dart   |Boomer |Glue   |Ace    |
|Dart   |Boomer |Glue   |Heli   |
|Dart   |Boomer |Glue   |Mortar |
|Dart   |Boomer |Glue   |Wizard |
|Dart   |Boomer |Glue   |Super  |
|Dart   |Boomer |Glue   |Ninja  |
|Dart   |Boomer |Glue   |Alch   |
|Dart   |Boomer |Glue   |Druid  |
|Dart   |Boomer |Glue   |Spact  |
|Dart   |Boomer |Glue   |Village|
|Dart   |Boomer |Sniper |Sub    |
|Dart   |Boomer |Sniper |Bucc   |
|Dart   |Boomer |Sniper |Ace    |
|Dart   |Boomer |Sniper |Heli   |
|Dart   |Boomer |Sniper |Mortar |
|Dart   |Boomer |Sniper |Wizard |
|Dart   |Boomer |Sniper |Super  |
|Dart   |Boomer |Sniper |Ninja  |
|Dart   |Boomer |Sniper |Alch   |
|Dart   |Boomer |Sniper |Druid  |
|Dart   |Boomer |Sniper |Spact  |
|Dart   |Boomer |Sniper |Village|
|Dart   |Boomer |Sub    |Bucc   |
|Dart   |Boomer |Sub    |Ace    |
|Dart   |Boomer |Sub    |Heli   |
|Dart   |Boomer |Sub    |Mortar |
|Dart   |Boomer |Sub    |Wizard |
|Dart   |Boomer |Sub    |Super  |
|Dart   |Boomer |Sub    |Ninja  |
|Dart   |Boomer |Sub    |Alch   |
|Dart   |Boomer |Sub    |Druid  |
|Dart   |Boomer |Sub    |Spact  |
|Dart   |Boomer |Sub    |Village|
|Dart   |Boomer |Bucc   |Ace    |
|Dart   |Boomer |Bucc   |Heli   |
|Dart   |Boomer |Bucc   |Mortar |
|Dart   |Boomer |Bucc   |Wizard |
|Dart   |Boomer |Bucc   |Super  |
|Dart   |Boomer |Bucc   |Ninja  |
|Dart   |Boomer |Bucc   |Alch   |
|Dart   |Boomer |Bucc   |Druid  |
|Dart   |Boomer |Bucc   |Spact  |
|Dart   |Boomer |Bucc   |Village|
|Dart   |Boomer |Ace    |Heli   |
|Dart   |Boomer |Ace    |Mortar |
|Dart   |Boomer |Ace    |Wizard |
|Dart   |Boomer |Ace    |Super  |
|Dart   |Boomer |Ace    |Ninja  |
|Dart   |Boomer |Ace    |Alch   |
|Dart   |Boomer |Ace    |Druid  |
|Dart   |Boomer |Ace    |Spact  |
|Dart   |Boomer |Ace    |Village|
|Dart   |Boomer |Heli   |Mortar |
|Dart   |Boomer |Heli   |Wizard |
|Dart   |Boomer |Heli   |Super  |
|Dart   |Boomer |Heli   |Ninja  |
|Dart   |Boomer |Heli   |Alch   |
|Dart   |Boomer |Heli   |Druid  |
|Dart   |Boomer |Heli   |Spact  |
|Dart   |Boomer |Heli   |Village|
|Dart   |Boomer |Mortar |Wizard |
|Dart   |Boomer |Mortar |Super  |
|Dart   |Boomer |Mortar |Ninja  |
|Dart   |Boomer |Mortar |Alch   |
|Dart   |Boomer |Mortar |Druid  |
|Dart   |Boomer |Mortar |Spact  |
|Dart   |Boomer |Mortar |Village|
|Dart   |Boomer |Wizard |Super  |
|Dart   |Boomer |Wizard |Ninja  |
|Dart   |Boomer |Wizard |Alch   |
|Dart   |Boomer |Wizard |Druid  |
|Dart   |Boomer |Wizard |Spact  |
|Dart   |Boomer |Wizard |Village|
|Dart   |Boomer |Super  |Ninja  |
|Dart   |Boomer |Super  |Alch   |
|Dart   |Boomer |Super  |Druid  |
|Dart   |Boomer |Super  |Spact  |
|Dart   |Boomer |Super  |Village|
|Dart   |Boomer |Ninja  |Alch   |
|Dart   |Boomer |Ninja  |Druid  |
|Dart   |Boomer |Ninja  |Spact  |
|Dart   |Boomer |Ninja  |Village|
|Dart   |Boomer |Alch   |Druid  |
|Dart   |Boomer |Alch   |Spact  |
|Dart   |Boomer |Alch   |Village|
|Dart   |Boomer |Druid  |Spact  |
|Dart   |Boomer |Druid  |Village|
|Dart   |Boomer |Spact  |Village|
|Dart   |Bomb   |Tack   |Ice    |
|Dart   |Bomb   |Tack   |Glue   |
|Dart   |Bomb   |Tack   |Sniper |
|Dart   |Bomb   |Tack   |Sub    |
|Dart   |Bomb   |Tack   |Bucc   |
|Dart   |Bomb   |Tack   |Ace    |
|Dart   |Bomb   |Tack   |Heli   |
|Dart   |Bomb   |Tack   |Mortar |
|Dart   |Bomb   |Tack   |Wizard |
|Dart   |Bomb   |Tack   |Super  |
|Dart   |Bomb   |Tack   |Ninja  |
|Dart   |Bomb   |Tack   |Alch   |
|Dart   |Bomb   |Tack   |Druid  |
|Dart   |Bomb   |Tack   |Spact  |
|Dart   |Bomb   |Tack   |Village|
|Dart   |Bomb   |Ice    |Glue   |
|Dart   |Bomb   |Ice    |Sniper |
|Dart   |Bomb   |Ice    |Sub    |
|Dart   |Bomb   |Ice    |Bucc   |
|Dart   |Bomb   |Ice    |Ace    |
|Dart   |Bomb   |Ice    |Heli   |
|Dart   |Bomb   |Ice    |Mortar |
|Dart   |Bomb   |Ice    |Wizard |
|Dart   |Bomb   |Ice    |Super  |
|Dart   |Bomb   |Ice    |Ninja  |
|Dart   |Bomb   |Ice    |Alch   |
|Dart   |Bomb   |Ice    |Druid  |
|Dart   |Bomb   |Ice    |Spact  |
|Dart   |Bomb   |Ice    |Village|
|Dart   |Bomb   |Glue   |Sniper |
|Dart   |Bomb   |Glue   |Sub    |
|Dart   |Bomb   |Glue   |Bucc   |
|Dart   |Bomb   |Glue   |Ace    |
|Dart   |Bomb   |Glue   |Heli   |
|Dart   |Bomb   |Glue   |Mortar |
