|Ezili  |Ninja  |Alch   |Engi   |
|Ezili  |Ninja  |Alch   |Village|
|Ezili  |Ninja  |Alch   |Spact  |
|Ezili  |Ninja  |Alch   |Druid  |
|Ezili  |Super  |Ninja  |Village|
|Ezili  |Super  |Ninja  |Alch   |
|Ezili  |Wizard |Spact  |Engi   |
|Ezili  |Wizard |Spact  |Village|
|Ezili  |Wizard |Druid  |Spact  |
|Ezili  |Wizard |Alch   |Spact  |
|Ezili  |Wizard |Ninja  |Engi   |
|Ezili  |Wizard |Ninja  |Village|
|Ezili  |Wizard |Ninja  |Spact  |
|Ezili  |Wizard |Ninja  |Druid  |
|Ezili  |Wizard |Ninja  |Alch   |
|Ezili  |Wizard |Super  |Spact  |
|Ezili  |Wizard |Super  |Ninja  |
|Ezili  |Mortar |Ninja  |Alch   |
|Ezili  |Mortar |Wizard |Engi   |
|Ezili  |Mortar |Wizard |Village|
|Ezili  |Mortar |Wizard |Spact  |
|Ezili  |Mortar |Wizard |Druid  |
|Ezili  |Mortar |Wizard |Alch   |
|Ezili  |Mortar |Wizard |Ninja  |
|Ezili  |Mortar |Wizard |Super  |
|Ezili  |Heli   |Alch   |Engi   |
|Ezili  |Heli   |Alch   |Village|
|Ezili  |Heli   |Alch   |Spact  |
|Ezili  |Heli   |Alch   |Druid  |
|Ezili  |Heli   |Ninja  |Alch   |
|Ezili  |Heli   |Super  |Alch   |
|Ezili  |Heli   |Wizard |Engi   |
|Ezili  |Heli   |Wizard |Village|
|Ezili  |Heli   |Wizard |Spact  |
|Ezili  |Heli   |Wizard |Druid  |
|Ezili  |Heli   |Wizard |Alch   |
|Ezili  |Heli   |Wizard |Ninja  |
|Ezili  |Heli   |Wizard |Super  |
|Ezili  |Heli   |Mortar |Alch   |
|Ezili  |Heli   |Mortar |Wizard |
|Ezili  |Ace    |Ninja  |Alch   |
|Ezili  |Ace    |Wizard |Engi   |
|Ezili  |Ace    |Wizard |Village|
|Ezili  |Ace    |Wizard |Spact  |
|Ezili  |Ace    |Wizard |Druid  |
|Ezili  |Ace    |Wizard |Alch   |
|Ezili  |Ace    |Wizard |Ninja  |
|Ezili  |Ace    |Wizard |Super  |
|Ezili  |Ace    |Mortar |Wizard |
|Ezili  |Ace    |Heli   |Alch   |
|Ezili  |Ace    |Heli   |Wizard |
|Ezili  |Bucc   |Ninja  |Alch   |
|Ezili  |Bucc   |Wizard |Engi   |
|Ezili  |Bucc   |Wizard |Village|
|Ezili  |Bucc   |Wizard |Spact  |
|Ezili  |Bucc   |Wizard |Druid  |
|Ezili  |Bucc   |Wizard |Alch   |
|Ezili  |Bucc   |Wizard |Ninja  |
|Ezili  |Bucc   |Wizard |Super  |
|Ezili  |Bucc   |Mortar |Wizard |
|Ezili  |Bucc   |Heli   |Village|
|Ezili  |Bucc   |Heli   |Alch   |
|Ezili  |Bucc   |Heli   |Wizard |
|Ezili  |Bucc   |Ace    |Wizard |
|Ezili  |Sub    |Ninja  |Alch   |
|Ezili  |Sub    |Super  |Engi   |
|Ezili  |Sub    |Super  |Village|
|Ezili  |Sub    |Super  |Spact  |
|Ezili  |Sub    |Super  |Druid  |
|Ezili  |Sub    |Super  |Alch   |
|Ezili  |Sub    |Super  |Ninja  |
|Ezili  |Sub    |Wizard |Spact  |
|Ezili  |Sub    |Wizard |Ninja  |
|Ezili  |Sub    |Wizard |Super  |
|Ezili  |Sub    |Mortar |Super  |
|Ezili  |Sub    |Mortar |Wizard |
|Ezili  |Sub    |Heli   |Engi   |
|Ezili  |Sub    |Heli   |Village|
|Ezili  |Sub    |Heli   |Spact  |
|Ezili  |Sub    |Heli   |Druid  |
|Ezili  |Sub    |Heli   |Alch   |
|Ezili  |Sub    |Heli   |Ninja  |
|Ezili  |Sub    |Heli   |Super  |
|Ezili  |Sub    |Heli   |Wizard |
|Ezili  |Sub    |Heli   |Mortar |
|Ezili  |Sub    |Ace    |Super  |
|Ezili  |Sub    |Ace    |Wizard |
|Ezili  |Sub    |Ace    |Heli   |
|Ezili  |Sub    |Bucc   |Super  |
|Ezili  |Sub    |Bucc   |Wizard |
|Ezili  |Sub    |Bucc   |Heli   |
|Ezili  |Sniper |Ninja  |Alch   |
|Ezili  |Sniper |Wizard |Spact  |
|Ezili  |Sniper |Wizard |Ninja  |
|Ezili  |Sniper |Mortar |Wizard |
|Ezili  |Sniper |Heli   |Alch   |
|Ezili  |Sniper |Heli   |Wizard |
|Ezili  |Sniper |Ace    |Wizard |
|Ezili  |Sniper |Bucc   |Wizard |
|Ezili  |Sniper |Sub    |Super  |
|Ezili  |Sniper |Sub    |Heli   |
|Ezili  |Glue   |Ninja  |Alch   |
|Ezili  |Glue   |Wizard |Spact  |
|Ezili  |Glue   |Wizard |Ninja  |
|Ezili  |Glue   |Mortar |Wizard |
|Ezili  |Glue   |Heli   |Alch   |
|Ezili  |Glue   |Heli   |Wizard |
|Ezili  |Glue   |Ace    |Wizard |
|Ezili  |Glue   |Bucc   |Wizard |
|Ezili  |Glue   |Sub    |Super  |
|Ezili  |Glue   |Sub    |Heli   |
|Ezili  |Ice    |Ninja  |Alch   |
|Ezili  |Ice    |Wizard |Spact  |
|Ezili  |Ice    |Wizard |Ninja  |
|Ezili  |Ice    |Mortar |Wizard |
|Ezili  |Ice    |Heli   |Alch   |
|Ezili  |Ice    |Heli   |Wizard |
|Ezili  |Ice    |Ace    |Wizard |
|Ezili  |Ice    |Bucc   |Wizard |
|Ezili  |Ice    |Sub    |Super  |
|Ezili  |Ice    |Sub    |Heli   |
|Ezili  |Tack   |Ninja  |Alch   |
|Ezili  |Tack   |Wizard |Spact  |
|Ezili  |Tack   |Wizard |Ninja  |
|Ezili  |Tack   |Mortar |Wizard |
|Ezili  |Tack   |Heli   |Alch   |
|Ezili  |Tack   |Heli   |Wizard |
|Ezili  |Tack   |Ace    |Wizard |
|Ezili  |Tack   |Bucc   |Wizard |
|Ezili  |Tack   |Sub    |Super  |
|Ezili  |Tack   |Sub    |Heli   |
|Ezili  |Bomb   |Ninja  |Alch   |
|Ezili  |Bomb   |Wizard |Spact  |
|Ezili  |Bomb   |Wizard |Ninja  |
|Ezili  |Bomb   |Mortar |Wizard |
|Ezili  |Bomb   |Heli   |Alch   |
|Ezili  |Bomb   |Heli   |Wizard |
|Ezili  |Bomb   |Ace    |Wizard |
|Ezili  |Bomb   |Bucc   |Wizard |
|Ezili  |Bomb   |Sub    |Super  |
|Ezili  |Bomb   |Sub    |Heli   |
|Ezili  |Boomer |Ninja  |Alch   |
|Ezili  |Boomer |Wizard |Spact  |
|Ezili  |Boomer |Wizard |Ninja  |
|Ezili  |Boomer |Mortar |Wizard |
|Ezili  |Boomer |Heli   |Alch   |
|Ezili  |Boomer |Heli   |Wizard |
|Ezili  |Boomer |Ace    |Wizard |
|Ezili  |Boomer |Bucc   |Wizard |
|Ezili  |Boomer |Sub    |Super  |
|Ezili  |Boomer |Sub    |Heli   |
|Ezili  |Dart   |Ninja  |Alch   |
|Ezili  |Dart   |Wizard |Engi   |
