|Dart   |Boomer |Bomb   |Tack   |
|Dart   |Boomer |Bomb   |Ice    |
|Dart   |Boomer |Bomb   |Glue   |
|Dart   |Boomer |Bomb   |Sniper |
|Dart   |Boomer |Bomb   |Bucc   |
|Dart   |Boomer |Bomb   |Heli   |
|Dart   |Boomer |Bomb   |Alch   |
|Dart   |Boomer |Bomb   |Druid  |
|Dart   |Boomer |Bomb   |Spact  |
|Dart   |Boomer |Bomb   |Engi   |
|Dart   |Boomer |Tack   |Ice    |
|Dart   |Boomer |Tack   |Glue   |
|Dart   |Boomer |Tack   |Sniper |
|Dart   |Boomer |Tack   |Sub    |
|Dart   |Boomer |Tack   |Bucc   |
|Dart   |Boomer |Tack   |Heli   |
|Dart   |Boomer |Tack   |Ninja  |
|Dart   |Boomer |Tack   |Alch   |
|Dart   |Boomer |Tack   |Druid  |
|Dart   |Boomer |Tack   |Engi   |
|Dart   |Boomer |Ice    |Glue   |
|Dart   |Boomer |Ice    |Sniper |
|Dart   |Boomer |Ice    |Sub    |
|Dart   |Boomer |Ice    |Bucc   |
|Dart   |Boomer |Ice    |Heli   |
|Dart   |Boomer |Ice    |Ninja  |
|Dart   |Boomer |Ice    |Alch   |
|Dart   |Boomer |Ice    |Druid  |
|Dart   |Boomer |Ice    |Spact  |
|Dart   |Boomer |Ice    |Engi   |
|Dart   |Boomer |Glue   |Sniper |
|Dart   |Boomer |Glue   |Sub    |
|Dart   |Boomer |Glue   |Bucc   |
|Dart   |Boomer |Glue   |Heli   |
|Dart   |Boomer |Glue   |Ninja  |
|Dart   |Boomer |Glue   |Alch   |
|Dart   |Boomer |Glue   |Druid  |
|Dart   |Boomer |Glue   |Engi   |
|Dart   |Boomer |Sniper |Sub    |
|Dart   |Boomer |Sniper |Bucc   |
|Dart   |Boomer |Sniper |Heli   |
|Dart   |Boomer |Sniper |Ninja  |
|Dart   |Boomer |Sniper |Alch   |
|Dart   |Boomer |Sniper |Druid  |
|Dart   |Boomer |Sniper |Spact  |
|Dart   |Boomer |Sniper |Engi   |
|Dart   |Boomer |Sub    |Bucc   |
|Dart   |Boomer |Sub    |Ninja  |
|Dart   |Boomer |Sub    |Druid  |
|Dart   |Boomer |Sub    |Spact  |
|Dart   |Boomer |Sub    |Engi   |
|Dart   |Boomer |Bucc   |Heli   |
|Dart   |Boomer |Bucc   |Ninja  |
|Dart   |Boomer |Bucc   |Druid  |
|Dart   |Boomer |Bucc   |Spact  |
|Dart   |Boomer |Bucc   |Engi   |
|Dart   |Boomer |Heli   |Druid  |
|Dart   |Boomer |Heli   |Engi   |
|Dart   |Boomer |Ninja  |Druid  |
|Dart   |Boomer |Ninja  |Spact  |
|Dart   |Boomer |Ninja  |Engi   |
|Dart   |Boomer |Alch   |Druid  |
|Dart   |Boomer |Alch   |Engi   |
|Dart   |Boomer |Druid  |Spact  |
|Dart   |Boomer |Druid  |Engi   |
|Dart   |Boomer |Spact  |Engi   |
|Dart   |Bomb   |Tack   |Ice    |
|Dart   |Bomb   |Tack   |Glue   |
|Dart   |Bomb   |Tack   |Sniper |
|Dart   |Bomb   |Tack   |Sub    |
|Dart   |Bomb   |Tack   |Bucc   |
|Dart   |Bomb   |Tack   |Ace    |
|Dart   |Bomb   |Tack   |Heli   |
|Dart   |Bomb   |Tack   |Mortar |
|Dart   |Bomb   |Tack   |Super  |
|Dart   |Bomb   |Tack   |Alch   |
|Dart   |Bomb   |Tack   |Druid  |
|Dart   |Bomb   |Tack   |Engi   |
|Dart   |Bomb   |Ice    |Glue   |
|Dart   |Bomb   |Ice    |Sniper |
|Dart   |Bomb   |Ice    |Sub    |
|Dart   |Bomb   |Ice    |Bucc   |
|Dart   |Bomb   |Ice    |Ace    |
|Dart   |Bomb   |Ice    |Heli   |
|Dart   |Bomb   |Ice    |Mortar |
|Dart   |Bomb   |Ice    |Alch   |
|Dart   |Bomb   |Ice    |Druid  |
|Dart   |Bomb   |Ice    |Spact  |
|Dart   |Bomb   |Ice    |Engi   |
|Dart   |Bomb   |Glue   |Sniper |
|Dart   |Bomb   |Glue   |Sub    |
|Dart   |Bomb   |Glue   |Bucc   |
|Dart   |Bomb   |Glue   |Ace    |
|Dart   |Bomb   |Glue   |Heli   |
|Dart   |Bomb   |Glue   |Mortar |
|Dart   |Bomb   |Glue   |Alch   |
|Dart   |Bomb   |Glue   |Druid  |
|Dart   |Bomb   |Glue   |Spact  |
|Dart   |Bomb   |Glue   |Engi   |
|Dart   |Bomb   |Sniper |Sub    |
|Dart   |Bomb   |Sniper |Bucc   |
|Dart   |Bomb   |Sniper |Ace    |
|Dart   |Bomb   |Sniper |Heli   |
|Dart   |Bomb   |Sniper |Mortar |
|Dart   |Bomb   |Sniper |Alch   |
|Dart   |Bomb   |Sniper |Druid  |
|Dart   |Bomb   |Sniper |Spact  |
|Dart   |Bomb   |Sniper |Engi   |
|Dart   |Bomb   |Sub    |Bucc   |
|Dart   |Bomb   |Sub    |Mortar |
|Dart   |Bomb   |Sub    |Alch   |
|Dart   |Bomb   |Sub    |Druid  |
|Dart   |Bomb   |Sub    |Spact  |
|Dart   |Bomb   |Sub    |Engi   |
|Dart   |Bomb   |Bucc   |Heli   |
|Dart   |Bomb   |Bucc   |Super  |
|Dart   |Bomb   |Bucc   |Alch   |
|Dart   |Bomb   |Bucc   |Druid  |
|Dart   |Bomb   |Bucc   |Engi   |
|Dart   |Bomb   |Ace    |Druid  |
|Dart   |Bomb   |Ace    |Engi   |
|Dart   |Bomb   |Heli   |Druid  |
|Dart   |Bomb   |Heli   |Engi   |
|Dart   |Bomb   |Mortar |Druid  |
|Dart   |Bomb   |Mortar |Engi   |
|Dart   |Bomb   |Super  |Druid  |
|Dart   |Bomb   |Super  |Engi   |
|Dart   |Bomb   |Alch   |Druid  |
|Dart   |Bomb   |Alch   |Engi   |
|Dart   |Bomb   |Druid  |Spact  |
|Dart   |Bomb   |Druid  |Engi   |
|Dart   |Bomb   |Spact  |Engi   |
|Dart   |Tack   |Ice    |Glue   |
|Dart   |Tack   |Ice    |Sniper |
|Dart   |Tack   |Ice    |Sub    |
|Dart   |Tack   |Ice    |Bucc   |
|Dart   |Tack   |Ice    |Ace    |
|Dart   |Tack   |Ice    |Heli   |
|Dart   |Tack   |Ice    |Mortar |
|Dart   |Tack   |Ice    |Ninja  |
|Dart   |Tack   |Ice    |Alch   |
|Dart   |Tack   |Ice    |Druid  |
|Dart   |Tack   |Ice    |Engi   |
|Dart   |Tack   |Glue   |Sniper |
|Dart   |Tack   |Glue   |Sub    |
|Dart   |Tack   |Glue   |Bucc   |
|Dart   |Tack   |Glue   |Ace    |
|Dart   |Tack   |Glue   |Heli   |
|Dart   |Tack   |Glue   |Mortar |
|Dart   |Tack   |Glue   |Ninja  |
|Dart   |Tack   |Glue   |Alch   |
|Dart   |Tack   |Glue   |Druid  |
|Dart   |Tack   |Glue   |Engi   |
|Dart   |Tack   |Sniper |Sub    |
|Dart   |Tack   |Sniper |Bucc   |
|Dart   |Tack   |Sniper |Ace    |
|Dart   |Tack   |Sniper |Heli   |
|Dart   |Tack   |Sniper |Mortar |
|Dart   |Tack   |Sniper |Ninja  |
|Dart   |Tack   |Sniper |Alch   |
|Dart   |Tack   |Sniper |Druid  |
|Dart   |Tack   |Sniper |Engi   |
|Dart   |Tack   |Sub    |Bucc   |
|Dart   |Tack   |Sub    |Ninja  |
|Dart   |Tack   |Sub    |Alch   |
|Dart   |Tack   |Sub    |Druid  |
|Dart   |Tack   |Sub    |Engi   |
